Date,Open,High,Low,Close,Volume,OpenInt
1984-09-25,18.38,18.38,18.12,18.32,493200,0
1984-09-26,18.38,18.57,17.75,17.88,944600,0
1984-09-27,17.25,17.69,17.19,17.57,2226200,0
1984-09-28,17.44,17.75,17.25,17.38,732600,0
1984-10-01,17.12,17.25,16.75,16.82,472400,0
1984-10-02,16.82,17.19,16.5,16.5,836600,0
1984-10-03,16.5,17.38,16.19,17.25,1501000,0
1984-10-04,17.25,17.69,17.12,17.32,799400,0
1984-10-05,17.12,17.25,16.5,16.57,1556600,0
1984-10-08,16.57,16.62,16,16.25,1122200,0
1984-10-09,16.69,16.69,16.32,16.5,1022200,0
1984-10-10,16.69,17.88,16.5,17.82,1539000,0
1984-10-11,17.62,17.62,17,17.19,1749400,0
1984-10-12,17.19,17.62,17.19,17.38,1028400,0
1984-10-15,17.38,17.94,17.38,17.82,892800,0
1984-10-16,17.82,17.82,17.44,17.5,563400,0
1984-10-17,17.38,17.44,17.12,17.32,726800,0
1984-10-18,17.32,18.32,17.32,18.32,1438200,0
1984-10-19,18.69,18.69,17.88,18.07,1609600,0
1984-10-22,18,18.25,17.69,17.75,507400,0
1984-10-23,17.94,18.38,17.88,18.32,832600,0
1984-10-24,18.25,18.44,17.62,17.75,1364600,0
1984-10-25,17.62,17.62,16.44,16.57,2368200,0
1984-10-26,15.5,15.75,15.31,15.56,3152600,0
1984-10-29,15.62,16,15.56,15.62,720400,0
1984-10-30,15.75,16.32,15.75,16.19,996200,0
1984-10-31,16.25,16.32,16,16,631000,0
1984-11-01,16.12,16.19,15.25,15.31,1145400,0
1984-11-02,15.44,15.44,14.56,14.81,2838800,0
1984-11-05,14.88,15.19,14.69,15.19,1210600,0
1984-11-06,15.19,15.75,15.19,15.75,1192200,0
1984-11-07,15.69,15.69,15.31,15.5,1423800,0
1984-11-08,15.38,15.81,15.19,15.75,955600,0
1984-11-09,16,16.07,15.5,15.56,807600,0
1984-11-12,15.56,15.62,15.31,15.62,661200,0
1984-11-13,15.44,15.5,15.19,15.19,997600,0
1984-11-14,15.12,15.25,14.81,15,1083800,0
1984-11-15,14.88,15.12,14.75,14.88,1207200,0
1984-11-16,14.88,15,14.56,14.56,614400,0
1984-11-19,14.56,14.69,14.31,14.5,890600,0
1984-11-20,14.69,14.81,14.5,14.69,666200,0
1984-11-21,14.56,14.56,13.69,14.31,1509000,0
1984-11-23,14.31,14.5,14.06,14.06,505400,0
1984-11-26,14.25,14.5,14.12,14.25,874600,0
1984-11-27,14.25,14.44,14.06,14.06,1204400,0
1984-11-28,13.81,13.88,13.5,13.5,983400,0
1984-11-29,13.5,13.81,13.31,13.81,869000,0
1984-11-30,13.62,14.06,13.62,13.88,476600,0
1984-12-03,13.75,14.12,13.5,14.12,327800,0
1984-12-04,14,14.44,14,14.25,901800,0
1984-12-05,14.12,14.25,13.88,14.12,875000,0
1984-12-06,14.06,14.81,14.06,14.5,1200000,0
1984-12-07,14.62,14.88,14.44,14.44,981800,0
1984-12-10,14.25,14.31,13.75,13.81,919600,0
1984-12-11,13.81,13.88,13.12,13.5,839400,0
1984-12-12,13.5,13.56,13.31,13.44,674000,0
1984-12-13,13.38,13.44,12.69,12.75,1288400,0
1984-12-14,12.75,13.44,12.69,13,1181200,0
1984-12-17,12.94,13.06,12.75,13.06,576200,0
1984-12-18,13.31,14.19,13.31,14.19,1690600,0
1984-12-19,14.38,15.25,14.06,14.62,2985000,0
1984-12-20,14.38,14.56,14.19,14.25,1166800,0
1984-12-21,14.38,14.5,13.81,14.5,594000,0
1984-12-24,14.62,15,14.56,14.88,640600,0
1984-12-26,14.88,14.94,14.81,14.94,189000,0
1984-12-27,14.88,15.12,14.69,14.69,645600,0
1984-12-28,14.69,14.88,14.56,14.81,420600,0
1984-12-31,14.81,14.88,14.69,14.75,308200,0
1985-01-02,14.69,14.69,14.38,14.5,444600,0
1985-01-03,14.5,14.81,14.31,14.44,821800,0
1985-01-04,14.38,14.69,14.31,14.5,715600,0
1985-01-07,14.62,14.69,14.19,14.31,591000,0
1985-01-08,14.31,14.38,13.19,13.44,2028200,0
1985-01-09,13.56,14.5,13.56,14.19,1524400,0
1985-01-10,14.31,15,14.12,15,884000,0
1985-01-11,15.06,15.38,14.94,15.25,1964400,0
1985-01-14,15.38,16.25,15.38,16.12,1841000,0
1985-01-15,16.19,16.62,16.12,16.32,1941600,0
1985-01-16,16.38,16.5,16.12,16.38,1459000,0
1985-01-17,16.44,16.57,15.94,16,808200,0
1985-01-18,16.12,16.25,16,16.07,420400,0
1985-01-21,16.12,16.75,16.12,16.69,919000,0
1985-01-22,17,17.19,16.94,16.94,1768800,0
1985-01-23,16.94,17.57,16.82,17.5,1226600,0
1985-01-24,17.62,17.82,17.19,17.19,1408400,0
1985-01-25,17.25,17.57,17,17.38,1073400,0
1985-01-28,17.5,17.62,17.19,17.25,546800,0
1985-01-29,17.12,17.75,16.82,17.75,964000,0
1985-01-30,18,18.19,17.69,17.94,1418800,0
1985-01-31,17.82,17.82,17.38,17.57,1014600,0
1985-02-01,17.32,17.38,17.12,17.32,737600,0
1985-02-04,17.32,17.88,17.25,17.69,628400,0
1985-02-05,17.94,18.07,17.57,17.69,877800,0
1985-02-06,17.82,17.82,17.38,17.38,621600,0
1985-02-07,17.44,17.62,17.32,17.44,429600,0
1985-02-08,17.5,17.5,17.12,17.25,910000,0
1985-02-11,17.32,17.69,17.25,17.44,431000,0
1985-02-12,17.44,17.75,17.32,17.57,565000,0
1985-02-13,17.38,18,17.19,17.94,1386800,0
1985-02-14,17.82,17.94,17.19,17.19,856000,0
1985-02-15,17.07,17.25,16.25,16.57,1222200,0
1985-02-19,16.57,16.62,16.12,16.32,946800,0
1985-02-20,16.32,16.94,16.32,16.88,765400,0
1985-02-21,16.69,16.82,16.62,16.82,501600,0
1985-02-22,16.75,16.75,16.32,16.44,1118200,0
1985-02-25,16.32,16.32,15.81,16,948800,0
1985-02-26,16,16.88,16,16.75,814400,0
1985-02-27,16.62,16.94,16.38,16.5,996200,0
1985-02-28,16.44,16.69,16.44,16.62,291000,0
1985-03-01,16.69,17,16.62,16.69,782600,0
1985-03-04,16.82,16.82,16.19,16.25,703400,0
1985-03-05,16.32,16.44,15.94,16.19,1181600,0
